key,translation
"navigation.services","Dienstleistungen"
"navigation.showcase","Showcase"
"navigation.process","Prozess"
"navigation.schedule","Termin"
"navigation.contact","Kontakt"
"hero.title","Ein schönes Bild hilft beim Verkauf."
"hero.subtitle","Heben Sie Ihre Möbelmarke mit erstklassigen 3D-Visualisierungen hervor."
"hero.cta","Kostenloses Projektangebot erhalten"
"hero.viewShowcase","Unser Showcase ansehen"
"problem.challenges.title","Herausforderungen bei der Möbelvisualisierung"
"problem.challenges.expensivePhotoshoots.title","Teure Fotoshootings"
"problem.challenges.expensivePhotoshoots.description","Traditionelle Fotografie erfordert physische Prototypen, Studiozeit und komplexe Logistik."
"problem.challenges.endlessPrototypes.title","Endlose Prototypen"
"problem.challenges.endlessPrototypes.description","Die Erstellung physischer Muster für jede Material- und Farbvariation ist kostspielig und zeitaufwändig."
"problem.challenges.slowLaunches.title","Langsame Produkteinführungen"
"problem.challenges.slowLaunches.description","Das Warten auf Fotografie verzögert Ihre Markteinführung und Ihren Wettbewerbsvorteil."
"problem.challenges.inconsistentPresentation.title","Inkonsistente Präsentation"
"problem.challenges.inconsistentPresentation.description","Verschiedene Fotografen und Beleuchtungsbedingungen schaffen visuelle Inkonsistenzen in Ihrem Katalog."
"problem.solution.title","Die Debutiques Lösung"
"problem.solution.renderingsForAnyFinish.title","Renderings für jede Oberfläche"
"problem.solution.renderingsForAnyFinish.description","Erstellen Sie unbegrenzte Materialvariationen digital — entweder aus bestehenden digitalen Bibliotheken oder durch professionelles Scannen physischer Muster, die Sie bereitstellen. Ideal für hochwertige Produktkonfiguratoren."
"problem.solution.featureFocusedAnimations.title","Feature-fokussierte Animationen"
"problem.solution.featureFocusedAnimations.description","Heben Sie Mechanismen, Transformationen und einzigartige Verkaufsargumente hervor, die in statischen Bildern unmöglich zu zeigen sind."
"problem.solution.360Visuals.title","360°-Visualisierungen für E-Commerce"
"problem.solution.360Visuals.description","Erhöhen Sie Konversionsraten mit interaktiven Produktansichten, die Käufervertrauen aufbauen."
"problem.solution.interiorStaging.title","Innenrauminszenierung"
"problem.solution.interiorStaging.description","Platzieren Sie Ihre Produkte in inspirierenden Umgebungen, die Kunden begeistern und den wahrgenommenen Wert steigern."
"services.title","Unsere Dienstleistungen"
"services.renderings.title","Renderings"
"services.renderings.description","Realistische Produktbilder aus jedem Winkel oder Material."
"services.animations.title","Animationen"
"services.animations.description","Wirkungsvolle Marketing-Videos, die Features zeigen."
"services.360Animations.title","360°-Animationen"
"services.360Animations.description","Interaktive Drehungen für E-Commerce-Plattformen."
"services.assemblyAnimations.title","Montage-Animationen"
"services.assemblyAnimations.description","Schritt-für-Schritt visuelle Anleitungen."
"services.interiorShots.title","Innenraumaufnahmen"
"services.interiorShots.description","Vollständig inszenierte Umgebungen zur Produktpräsentation."
"socialProof.productsVisualized","Visualisierte Produkte"
"socialProof.rendersDelivered","Gelieferte Renderings"
"socialProof.catalogDistribution","Katalogverteilung"
"socialProof.trustedBy","Vertraut von"
"showcase.title","Unsere Arbeit"
"showcase.filters.allWork","Alle Arbeiten"
"showcase.filters.productRenders","Produkt-Renderings"
"showcase.filters.interiorScenes","Innenraumszenen"
"showcase.filters.videos","Videos"
"showcase.categories.product","Produkt"
"showcase.categories.interior","Innenraum"
"showcase.categories.video","Video"
"showcase.showingResults","Zeige {{count}} von {{total}} Projekten"
"process.title","Wie es funktioniert"
"process.step1.title","Senden Sie Ihre Produktdetails"
"process.step1.description","Stellen Sie CAD-Dateien, Skizzen oder Fotos Ihrer Möbel bereit. Wir arbeiten mit allem, was Sie haben."
"process.step2.title","Wir erstellen atemberaubende Visualisierungen"
"process.step2.description","Unser Team entwickelt fotorealistische 3D-Assets mit iterativem Feedback, um Perfektion zu gewährleisten."
"process.step3.title","Sie starten und verkaufen mehr"
"process.step3.description","Erhalten Sie web- und druckoptimierte Visualisierungen, die Engagement fördern und Konversionen steigern."
"process.cta","Ihr Projekt starten"
"faq.title","FAQ – Debutiques | CGI Studio & 3D Rendering"
"faq.items.renderingProcess.question","Wie funktioniert der 3D-Rendering-Prozess?"
"faq.items.renderingProcess.answer","Der 3D-Rendering-Prozess umfasst mehrere wichtige Schritte. Zunächst beginnen wir damit, Ihr Produkt und Ihre Ziele durch ein Vor-Ort-Meeting oder einen virtuellen Videoanruf zu verstehen. Sobald die Ziele Ihres Projekts klar definiert sind, erstellen wir ein detailliertes 3D-Modell des Objekts oder der Szene. Als nächstes wenden wir Texturen, Materialien und realistische Details auf das Modell an. Dann fügen wir sorgfältig konfigurierte Beleuchtung hinzu, um realistische Schatten und Reflexionen zu erzeugen. Schließlich führen wir die Rendering-Phase durch und verwandeln Ihr 3D-Modell in ein fotorealistisches 2D-Bild oder eine Animation. Wenn Sie Feedback haben, verfeinern wir die Visualisierungen, bis Sie vollständig zufrieden sind."
"faq.items.cgiFurniture.question","Was sind CGI-Möbel?"
"faq.items.cgiFurniture.answer","CGI steht für ""Computer Generated Imagery"" (Computergenerierte Bilder). CGI-Möbel beziehen sich auf Möbelmodelle, die vollständig digital am Computer erstellt werden. Diese virtuellen Möbelstücke können in digitalen Umgebungen präsentiert und effektiv im visuellen Marketing von Möbel-, Wohndekor- und Lifestyle-Marken eingesetzt werden."
"faq.items.3dVisualization.question","Was genau ist 3D-Visualisierung?"
"faq.items.3dVisualization.answer","3D-Visualisierung ist eine digitale Darstellung physischer Objekte oder Szenen, die in dreidimensionaler Form als Bilder oder Animationen angezeigt werden. Bei Debutiques spezialisiert sich unser engagiertes 3D-Visualisierungsteam auf die Produktion hochwertiger visueller Inhalte, die speziell für die Möbel-, Wohn- und Lifestyle-Industrie zugeschnitten sind."
"faq.items.turnaroundTime.question","Wie lange dauert es, ein 3D-Rendering bei Debutiques zu erstellen?"
"faq.items.turnaroundTime.answer","Die Bearbeitungszeit für 3D-Renderings hängt stark von mehreren Faktoren ab, einschließlich der Komplexität des Modells, der gewünschten visuellen Qualität und des Projektumfangs. Eine einfache 3D-Visualisierung kann normalerweise innerhalb weniger Stunden abgeschlossen werden, während komplexere Animationen mehrere Tage oder sogar Wochen dauern können."
"faq.items.businessBenefits.question","Wie kann Produktvisualisierung meinem Unternehmen nutzen?"
"faq.items.businessBenefits.answer","Produktvisualisierung ermöglicht es Ihnen, Ihre Produkte auf Weise zu präsentieren, die mit traditioneller Fotografie schwierig oder unmöglich sind. Sie ermöglicht detaillierte Ansichten aus jedem möglichen Winkel, das Experimentieren mit Beleuchtungssetups und das Testen verschiedener Farben und Texturen. Darüber hinaus kann 3D-Visualisierung die Funktionalität eines Produkts klar veranschaulichen, komplizierte Konzepte demonstrieren und die Kosten bei der Präsentation mehrerer Produktvariationen erheblich reduzieren."
"faq.items.visualizationTypes.question","Welche Arten von 3D-Visualisierungen bietet Debutiques an?"
"faq.items.visualizationTypes.answer","Debutiques bietet eine umfassende Palette von 3D-Visualisierungsdienstleistungen, einschließlich:

• Eigenständige Produktrenderings (mit oder ohne Hintergrund)
• Innen- und Außenumgebungsvisualisierungen
• Kontextuelle Produktpräsentationen in digital erstellten Umgebungen
• 3D-Animationen und Video-Renderings
• Augmented Reality (AR) Visualisierungen, die es ermöglichen, virtuelle Produkte nahtlos in realen Umgebungen anzuzeigen

Suchen Sie nach Inspiration? Erkunden Sie gerne unsere vorgestellten CGI-Projekte, um zu sehen, was möglich ist!"
"faq.items.pricing.question","Wie viel kostet eine CGI-Visualisierung normalerweise?"
"faq.items.pricing.answer","Die Preise für 3D-Visualisierungsdienstleistungen variieren je nach Komplexität und Art des Lieferobjekts. Einfache statische Visualisierungen können ab einigen hundert Dollar beginnen, während umfassende Animationen und AR-Visualisierungen mehrere tausend Dollar kosten können. Um ein genaues und personalisiertes Angebot zu erhalten, wenden Sie sich bitte direkt an uns – Beratungen und Angebote sind immer kostenlos und unverbindlich."
"faq.items.cgiStudio.question","Was genau ist ein CGI-Studio?"
"faq.items.cgiStudio.answer","Ein CGI- oder 3D-Studio ist eine spezialisierte Agentur, die sich auf die Erstellung digitaler Visualisierungen und Animationen für Unternehmen konzentriert. Diese Studios bieten Flexibilität im Vergleich zur Einstellung von internen 3D-Künstlern, da Sie spezifische Projekte beauftragen können, wann immer sie benötigt werden, ohne die Gemeinkosten und langfristige Verpflichtung von Vollzeitmitarbeitern."
"faq.items.gettingStarted.question","Wie kann ich mit der Erstellung eines 3D-Renderings für mein Projekt beginnen?"
"faq.items.gettingStarted.answer","Wenn Sie daran interessiert sind, ein 3D-Rendering zu erstellen, wenden Sie sich einfach an Debutiques. Wir besprechen Ihre spezifischen Bedürfnisse, erklären, welche Arten von Visualisierungen Ihr Produkt am besten präsentieren, und stellen Ihnen ein klares, unverbindliches Angebot zur Verfügung. Erstberatungen sind völlig kostenlos und geben Ihnen die Möglichkeit, unseren Ansatz zu verstehen und sicherzustellen, dass wir die richtige Wahl für Ihr Projekt sind."
"schedule.title","Termin vereinbaren"
"schedule.description","Buchen Sie eine kostenlose Beratung, um Ihre Projektanforderungen zu besprechen und zu erkunden, wie wir Ihnen helfen können, Ihre Vision zum Leben zu erwecken."
"contact.title","Lassen Sie uns zusammen schaffen"
"contact.description","Bereit, die Art zu transformieren, wie Ihre Kunden Ihre Möbel erleben?"
"contact.form.name","Name"
"contact.form.company","Unternehmen"
"contact.form.email","E-Mail"
"contact.form.message","Erzählen Sie uns von Ihrem Projekt"
"contact.form.submit","Angebot anfordern"
"contact.form.confidential","100% vertraulich. Wir antworten innerhalb von 24 Stunden."
"footer.description","Fotorealistische 3D-Möbelvisualisierung für zukunftsorientierte Marken."
"footer.navigation","Navigation"
"footer.contact","Kontakt"
"footer.connect","Verbinden"
"footer.email","info@debutiques.com"
"footer.locations","Belgrad • Frankfurt"
"footer.copyright","© {{year}} Debutiques. Alle Rechte vorbehalten."
"toast.messageSent","Nachricht gesendet!"
