key,translation
"navigation.services","Services"
"navigation.showcase","Showcase"
"navigation.process","Process"
"navigation.schedule","Schedule"
"navigation.contact","Contact"
"hero.title","A nice image helps sell."
"hero.subtitle","Elevate Your Furniture Brand with World-Class 3D Visuals."
"hero.cta","Get a Free Project Quote"
"hero.viewShowcase","View Our Showcase"
"problem.challenges.title","Furniture Visualization Challenges"
"problem.challenges.expensivePhotoshoots.title","Expensive photoshoots"
"problem.challenges.expensivePhotoshoots.description","Traditional photography requires physical prototypes, studio time, and complex logistics."
"problem.challenges.endlessPrototypes.title","Endless prototypes"
"problem.challenges.endlessPrototypes.description","Creating physical samples for each material and color variation is costly and time-consuming."
"problem.challenges.slowLaunches.title","Slow product launches"
"problem.challenges.slowLaunches.description","Waiting for photography delays your time-to-market and competitive advantage."
"problem.challenges.inconsistentPresentation.title","Inconsistent presentation"
"problem.challenges.inconsistentPresentation.description","Different photographers and lighting conditions create visual inconsistencies across your catalog."
"problem.solution.title","The Debutiques Solution"
"problem.solution.renderingsForAnyFinish.title","Renderings for any finish"
"problem.solution.renderingsForAnyFinish.description","Create unlimited material variations digitally — either from existing digital libraries or by professionally scanning physical samples you provide. Ideal for high-end product configurators."
"problem.solution.featureFocusedAnimations.title","Feature-focused animations"
"problem.solution.featureFocusedAnimations.description","Highlight mechanisms, transformations, and unique selling points impossible to show in static images."
"problem.solution.360Visuals.title","360° visuals for e-commerce"
"problem.solution.360Visuals.description","Increase conversion rates with interactive product views that build buyer confidence."
"problem.solution.interiorStaging.title","Interior staging"
"problem.solution.interiorStaging.description","Place your products in aspirational environments that inspire customers and enhance perceived value."
"services.title","Our Services"
"services.renderings.title","Renderings"
"services.renderings.description","Realistic product images for any angle or material."
"services.animations.title","Animations"
"services.animations.description","High-impact marketing videos showing features."
"services.360Animations.title","360° Animations"
"services.360Animations.description","Interactive spins for e-commerce platforms."
"services.assemblyAnimations.title","Assembly Animations"
"services.assemblyAnimations.description","Step-by-step visual guides."
"services.interiorShots.title","Interior Shots"
"services.interiorShots.description","Fully staged environments to present products."
"socialProof.productsVisualized","Products Visualized"
