key,translation
"navigation.services","Diensten"
"navigation.showcase","Showcase"
"navigation.process","Proces"
"navigation.schedule","Afspraak"
"navigation.contact","Contact"
"hero.title","Een mooie afbeelding helpt verkopen."
"hero.subtitle","Verhef uw meubelmerkt met wereldklasse 3D-visualisaties."
"hero.cta","Krijg een gratis projectofferte"
"hero.viewShowcase","Bekijk onze showcase"
"problem.challenges.title","Uitdagingen bij meubelvisualisatie"
"problem.challenges.expensivePhotoshoots.title","Dure fotoshoots"
"problem.challenges.expensivePhotoshoots.description","Traditionele fotografie vereist fysieke prototypes, studiotijd en complexe logistiek."
"problem.challenges.endlessPrototypes.title","Eindeloze prototypes"
"problem.challenges.endlessPrototypes.description","Het maken van fysieke monsters voor elke materiaal- en kleurvariatie is kostbaar en tijdrovend."
"problem.challenges.slowLaunches.title","Trage productlanceringen"
"problem.challenges.slowLaunches.description","Wachten op fotografie vertraagt uw time-to-market en concurrentievoordeel."
"problem.challenges.inconsistentPresentation.title","Inconsistente presentatie"
"problem.challenges.inconsistentPresentation.description","Verschillende fotografen en lichtomstandigheden creëren visuele inconsistenties in uw catalogus."
"problem.solution.title","De Debutiques Oplossing"
"problem.solution.renderingsForAnyFinish.title","Renderings voor elke afwerking"
"problem.solution.renderingsForAnyFinish.description","Creëer onbeperkte materiailvariaties digitaal — ofwel uit bestaande digitale bibliotheken of door professioneel scannen van fysieke monsters die u verstrekt. Ideaal voor hoogwaardige productconfigurators."
"problem.solution.featureFocusedAnimations.title","Feature-gerichte animaties"
"problem.solution.featureFocusedAnimations.description","Benadruk mechanismen, transformaties en unieke verkoopargumenten die onmogelijk te tonen zijn in statische beelden."
"problem.solution.360Visuals.title","360°-visualisaties voor e-commerce"
"problem.solution.360Visuals.description","Verhoog conversieratio's met interactieve productweergaven die kopervertrouwen opbouwen."
"problem.solution.interiorStaging.title","Interieur staging"
"problem.solution.interiorStaging.description","Plaats uw producten in inspirerende omgevingen die klanten inspireren en de waargenomen waarde verhogen."
"services.title","Onze Diensten"
"services.renderings.title","Renderings"
"services.renderings.description","Realistische productafbeeldingen vanuit elke hoek of materiaal."
"services.animations.title","Animaties"
"services.animations.description","Hoogimpact marketingvideo's die functies tonen."
"services.360Animations.title","360°-animaties"
"services.360Animations.description","Interactieve rotaties voor e-commerceplatforms."
"services.assemblyAnimations.title","Montage-animaties"
