key,translation
"navigation.services","Tjenester"
"navigation.showcase","Showcase"
"navigation.process","Prosess"
"navigation.schedule","Book tid"
"navigation.contact","Kontakt"
"hero.title","Et fint bilde hjelper til med å selge."
"hero.subtitle","Løft møbelmerkevaren din med verdensklasse 3D-visualiseringer."
"hero.cta","Få et gratis prosjekttilbud"
"hero.viewShowcase","Se vårt showcase"
"problem.challenges.title","Utfordringer med møbelvisualisering"
"problem.challenges.expensivePhotoshoots.title","Dyre fotoshoot"
"problem.challenges.expensivePhotoshoots.description","Tradisjonell fotografering krever fysiske prototyper, studiotid og kompleks logistikk."
"problem.challenges.endlessPrototypes.title","Endeløse prototyper"
"problem.challenges.endlessPrototypes.description","Å lage fysiske prøver for hver materiale- og fargevariasjon er kostbart og tidkrevende."
"problem.challenges.slowLaunches.title","Trege produktlanseringer"
"problem.challenges.slowLaunches.description","Å vente på fotografering forsinker din time-to-market og konkurransefordel."
"problem.challenges.inconsistentPresentation.title","Inkonsekvent presentasjon"
"problem.challenges.inconsistentPresentation.description","Forskjellige fotografer og lysforhold skaper visuelle inkonsekvenser på tvers av katalogen din."
"problem.solution.title","Debutiques løsning"
"problem.solution.renderingsForAnyFinish.title","Renderinger for enhver finish"
"problem.solution.renderingsForAnyFinish.description","Lag ubegrensede materialvariasjoner digitalt — enten fra eksisterende digitale biblioteker eller ved profesjonell skanning av fysiske prøver du leverer. Ideelt for avanserte produktkonfiguratorer."
"problem.solution.featureFocusedAnimations.title","Funksjonsfokuserte animasjoner"
"problem.solution.featureFocusedAnimations.description","Fremhev mekanismer, transformasjoner og unike salgsargumenter som er umulige å vise i statiske bilder."
"problem.solution.360Visuals.title","360°-visualiseringer for e-handel"
"problem.solution.360Visuals.description","Øk konverteringsrater med interaktive produktvisninger som bygger kjøpertillit."
"problem.solution.interiorStaging.title","Interiør staging"
"problem.solution.interiorStaging.description","Plasser produktene dine i inspirerende miljøer som inspirerer kunder og øker oppfattet verdi."
"services.title","Våre tjenester"
"services.renderings.title","Renderinger"
"services.renderings.description","Realistiske produktbilder fra hvilken som helst vinkel eller materiale."
"services.animations.title","Animasjoner"
"services.animations.description","Høy-impact markedsføringsvideoer som viser funksjoner."
"services.360Animations.title","360°-animasjoner"
"services.360Animations.description","Interaktive rotasjoner for e-handelsplattformer."
"services.assemblyAnimations.title","Monteringsanimasjoner"
"services.assemblyAnimations.description","Steg-for-steg visuelle guider."
"services.interiorShots.title","Interiørbilder"
"services.interiorShots.description","Fullt iscenesatte miljøer for å presentere produkter."
"socialProof.productsVisualized","Visualiserte produkter"
"socialProof.rendersDelivered","Leverte renderinger"
"socialProof.catalogDistribution","Katalogdistribusjon"
"socialProof.trustedBy","Betrodd av"
"showcase.title","Vårt arbeid"
"showcase.filters.allWork","Alt arbeid"
"showcase.filters.productRenders","Produktrenderinger"
"showcase.filters.interiorScenes","Interiørscener"
"showcase.filters.videos","Videoer"
"showcase.categories.product","Produkt"
"showcase.categories.interior","Interiør"
"showcase.categories.video","Video"
"showcase.showingResults","Viser {{count}} av {{total}} prosjekter"
"process.title","Slik fungerer det"
"process.step1.title","Send produktdetaljene dine"
"process.step1.description","Lever CAD-filer, skisser eller bilder av møblene dine. Vi jobber med det du har."
"process.step2.title","Vi lager fantastiske visualiseringer"
"process.step2.description","Teamet vårt utvikler fotorealistiske 3D-ressurser med iterativ tilbakemelding for å sikre perfeksjon."
"process.step3.title","Du lanserer og selger mer"
"process.step3.description","Motta web- og trykkoptimaliserte visualiseringer som driver engasjement og øker konverteringer."
