key,translation
"navigation.services","Tjänster"
"navigation.showcase","Showcase"
"navigation.process","Process"
"navigation.schedule","Boka tid"
"navigation.contact","Kontakt"
"hero.title","En fin bild hjälper till att sälja."
"hero.subtitle","Lyft ditt möbelmärke med världsklass 3D-visualiseringar."
"hero.cta","Få en gratis projektoffert"
"hero.viewShowcase","Se vårt showcase"
"problem.challenges.title","Utmaningar med möbelvisualisering"
"problem.challenges.expensivePhotoshoots.title","Dyra fotoshootings"
"problem.challenges.expensivePhotoshoots.description","Traditionell fotografering kräver fysiska prototyper, studiotid och komplex logistik."
"problem.challenges.endlessPrototypes.title","Ändlösa prototyper"
"problem.challenges.endlessPrototypes.description","Att skapa fysiska prover för varje material- och färgvariation är kostsamt och tidskrävande."
"problem.challenges.slowLaunches.title","Långsamma produktlanseringar"
"problem.challenges.slowLaunches.description","Att vänta på fotografering försenar din time-to-market och konkurrensfördel."
"problem.challenges.inconsistentPresentation.title","Inkonsekvent presentation"
"problem.challenges.inconsistentPresentation.description","Olika fotografer och ljusförhållanden skapar visuella inkonsekvenser i din katalog."
"problem.solution.title","Debutiques lösning"
"problem.solution.renderingsForAnyFinish.title","Renderingar för alla ytor"
"problem.solution.renderingsForAnyFinish.description","Skapa obegränsade materialvariationer digitalt — antingen från befintliga digitala bibliotek eller genom professionell skanning av fysiska prover du tillhandahåller. Perfekt för avancerade produktkonfiguratorer."
"problem.solution.featureFocusedAnimations.title","Funktionsfokuserade animationer"
"problem.solution.featureFocusedAnimations.description","Framhäv mekanismer, transformationer och unika försäljningsargument som är omöjliga att visa i statiska bilder."
"problem.solution.360Visuals.title","360°-visualiseringar för e-handel"
"problem.solution.360Visuals.description","Öka konverteringsgraden med interaktiva produktvyer som bygger köparförtroende."
"problem.solution.interiorStaging.title","Interiörstaging"
"problem.solution.interiorStaging.description","Placera dina produkter i inspirerande miljöer som inspirerar kunder och förhöjer upplevt värde."
"services.title","Våra tjänster"
"services.renderings.title","Renderingar"
"services.renderings.description","Realistiska produktbilder från vilken vinkel eller material som helst."
"services.animations.title","Animationer"
"services.animations.description","Högeffektiva marknadsföringsvideor som visar funktioner."
"services.360Animations.title","360°-animationer"
"services.360Animations.description","Interaktiva rotationer för e-handelsplattformar."
"services.assemblyAnimations.title","Monteringsanimationer"
"services.assemblyAnimations.description","Steg-för-steg visuella guider."
"services.interiorShots.title","Interiörbilder"
"services.interiorShots.description","Fullständigt iscensatta miljöer för att presentera produkter."
"socialProof.productsVisualized","Visualiserade produkter"
"socialProof.rendersDelivered","Levererade renderingar"
"socialProof.catalogDistribution","Katalogdistribution"
"socialProof.trustedBy","Betrodd av"
"showcase.title","Vårt arbete"
"showcase.filters.allWork","Allt arbete"
"showcase.filters.productRenders","Produktrenderingar"
"showcase.filters.interiorScenes","Interiörscener"
"showcase.filters.videos","Videor"
"showcase.categories.product","Produkt"
"showcase.categories.interior","Interiör"
"showcase.categories.video","Video"
"showcase.showingResults","Visar {{count}} av {{total}} projekt"
"process.title","Så fungerar det"
"process.step1.title","Skicka dina produktdetaljer"
"process.step1.description","Tillhandahåll CAD-filer, skisser eller foton av dina möbler. Vi arbetar med vad du än har."
"process.step2.title","Vi skapar fantastiska visualiseringar"
"process.step2.description","Vårt team utvecklar fotorealistiska 3D-tillgångar med iterativ feedback för att säkerställa perfektion."
"process.step3.title","Du lanserar och säljer mer"
"process.step3.description","Ta emot webb- och tryckoptimerade visualiseringar som driver engagemang och ökar konverteringar."
"process.cta","Starta ditt projekt"
"faq.title","FAQ – Debutiques | CGI Studio & 3D Rendering"
"faq.items.renderingProcess.question","Hur fungerar 3D-renderingsprocessen?"
"faq.items.renderingProcess.answer","3D-renderingsprocessen involverar flera viktiga steg. Initialt börjar vi med att förstå din produkt och dina mål genom ett möte på plats eller ett virtuellt videosamtal. När ditt projekts mål är tydligt definierade skapar vi en detaljerad 3D-modell av objektet eller scenen. Därefter applicerar vi texturer, material och realistiska detaljer på modellen. Vi lägger sedan till noggrant konfigurerad belysning för att generera realistiska skuggor och reflektioner. Slutligen utför vi renderingsfasen och förvandlar din 3D-modell till en fotorealistisk 2D-bild eller animation. Om du har feedback förfinar vi visualiseringarna tills du är helt nöjd."
"faq.items.cgiFurniture.question","Vad är CGI-möbler?"
"faq.items.cgiFurniture.answer","CGI står för ""Computer Generated Imagery"" (Datorgenererade bilder). CGI-möbler hänvisar till möbelmodeller som skapas helt digitalt på en dator. Dessa virtuella möbler kan visas i digitala miljöer och användas effektivt i visuell marknadsföring av möbel-, heminrednings- och livsstilsmärken."
"faq.items.3dVisualization.question","Vad är exakt 3D-visualisering?"
"faq.items.3dVisualization.answer","3D-visualisering är en digital representation av fysiska objekt eller scener som visas i tredimensionell form som bilder eller animationer. På Debutiques specialiserar sig vårt dedikerade 3D-visualiseringsteam på att producera högkvalitativt visuellt innehåll specifikt skräddarsytt för möbel-, hem- och livsstilsindustrierna."
"faq.items.turnaroundTime.question","Hur lång tid tar det att producera en 3D-rendering på Debutiques?"
"faq.items.turnaroundTime.answer","Genomförandetiden för 3D-renderingar beror mycket på flera faktorer, inklusive modellens komplexitet, önskad visuell kvalitet och projektomfattning. En enkel 3D-visualisering kan vanligtvis slutföras inom några timmar, medan mer komplexa animationer kan ta flera dagar eller till och med veckor."
"faq.items.businessBenefits.question","Hur kan produktvisualisering gynna mitt företag?"
"faq.items.businessBenefits.answer","Produktvisualisering låter dig visa dina produkter på sätt som är svåra eller omöjliga med traditionell fotografering. Det möjliggör detaljerade vyer från alla möjliga vinklar, experimentering med belysningsuppsättningar och testning av olika färger och texturer. Dessutom kan 3D-visualisering tydligt illustrera en produkts funktionalitet, demonstrera komplicerade koncept och avsevärt minska kostnaderna när man presenterar flera produktvariationer."
"faq.items.visualizationTypes.question","Vilka typer av 3D-visualiseringar erbjuder Debutiques?"
"faq.items.visualizationTypes.answer","Debutiques erbjuder ett omfattande utbud av 3D-visualiseringstjänster, inklusive:

• Fristående produktrenderingar (med eller utan bakgrund)
• Inre och yttre miljövisualiseringar
• Kontextuella produktpresentationer inom digitalt skapade miljöer
• 3D-animationer och videorenderingar
• Augmented Reality (AR) visualiseringar, som gör det möjligt att visa virtuella produkter sömlöst i verkliga miljöer

Letar du efter inspiration? Utforska gärna våra utvalda CGI-projekt för att se vad som är möjligt!"
"faq.items.pricing.question","Hur mycket kostar en CGI-visualisering vanligtvis?"
"faq.items.pricing.answer","Prissättningen för 3D-visualiseringstjänster varierar baserat på komplexitet och typ av leverans. Enkla statiska visualiseringar kan börja från några hundra dollar, medan omfattande animationer och AR-visualiseringar kan kosta flera tusen dollar. För att få en korrekt och personlig offert, vänligen kontakta oss direkt—konsultationer och offerter är alltid gratis och kommer utan förpliktelser."
"faq.items.cgiStudio.question","Vad är exakt en CGI-studio?"
"faq.items.cgiStudio.answer","En CGI- eller 3D-studio är en specialiserad byrå fokuserad på att skapa digitala visualiseringar och animationer för företag. Dessa studior erbjuder flexibilitet jämfört med att anställa interna 3D-artister, eftersom du kan beställa specifika projekt när det behövs utan overhead och långsiktiga åtaganden av heltidsanställda."
"faq.items.gettingStarted.question","Hur kan jag komma igång med att skapa en 3D-rendering för mitt projekt?"
"faq.items.gettingStarted.answer","Om du är intresserad av att skapa en 3D-rendering, kontakta bara Debutiques. Vi diskuterar dina specifika behov, förklarar vilka typer av visualiseringar som bäst kommer att visa din produkt, och ger dig en tydlig, icke-bindande offert. Initiala konsultationer är helt gratis, vilket ger dig möjligheten att förstå vårt tillvägagångssätt och säkerställa att vi är rätt passform för ditt projekt."
"schedule.title","Boka ett samtal"
"schedule.description","Boka en gratis konsultation för att diskutera dina projektkrav och utforska hur vi kan hjälpa till att förverkliga din vision."
"contact.title","Låt oss skapa tillsammans"
"contact.description","Redo att transformera hur dina kunder upplever dina möbler?"
"contact.form.name","Namn"
"contact.form.company","Företag"
"contact.form.email","E-post"
"contact.form.message","Berätta om ditt projekt"
"contact.form.submit","Begär förslag"
"contact.form.confidential","100% konfidentiellt. Vi svarar inom 24 timmar."
"footer.description","Fotorealistisk 3D-möbelvisualisering för framtidstänkande märken."
"footer.navigation","Navigation"
"footer.contact","Kontakt"
"footer.connect","Anslut"
"footer.email","info@debutiques.com"
"footer.locations","Belgrad • Frankfurt"
"footer.copyright","© {{year}} Debutiques. Alla rättigheter förbehållna."
"toast.messageSent","Meddelande skickat!"
"toast.messageResponse","Vi återkommer inom 24 timmar."
"toast.error","Fel"
"toast.messageFailed","Misslyckades att skicka meddelande. Försök igen."
"toast.configError","Konfigurationsfel"
"toast.emailServiceError","E-posttjänsten är inte korrekt konfigurerad. Kontakta administratören."
